sifrao,nazivo
66500000-5,Usluge osiguranja i penzijske usluge
66510000-8,Usluge osiguranja
66511000-5,Usluge životnog osiguranja
66512000-2,Usluge osiguranja od nezgode i usluge zdravstvenog osiguranja
66512100-3,Usluge osiguranja od nezgode
66512200-4,Usluge zdravstvenog osiguranja
66512210-7,Usluge dobrovoljnog zdravstvenog osiguranja
66512220-0,Usluge medicinskog osiguranja
66513000-9,Usluge osiguranja od pravne odgovornosti i osiguranja od svih rizika
66513100-0,Usluge osiguranja od troškova pravne zaštite
66513200-1,Usluge osiguranja od svih rizika ugovaraèa
66514000-6,Osiguranje robe u prevozu i usluge osiguranja u prevozu
66514100-7,Usluge osiguranja u prevozu
66514110-0,Usluge osiguranja motornih vozila
66514120-3,"Usluge osiguranja u pomorskom, vazdušnom i ostalom prevozu"
66514130-6,Usluge železnièkog osiguranja
66514140-9,Usluge osiguranja vazduhoplova
66514150-2,Usluge osiguranja plovila
66514200-8,Usluge osiguranja robe u prevozu
66515000-3,Usluge osiguranja od štete ili gubitka
66515100-4,Usluge osiguranja od požara
66515200-5,Usluge osiguranja imovine
66515300-6,Usluge osiguranja od vremenskih nepogoda i finansijskog gubitka
66515400-7,Usluge osiguranja od vremenskih nepogoda
66515410-0,Usluge osiguranja od finansijskog gubitka
66515411-7,Usluge osiguranja od novèanih gubitaka
66516000-0,Usluge osiguranja od odgovornosti
66516100-1,Usluge osiguranja od odgovornosti za motorna vozila
66516200-2,Usluge osiguranja od odgovornosti za vazduhoplove
66516300-3,Usluge osiguranja od odgovornosti za plovila
66516400-4,Usluge osiguranja od opšte odgovornosti
66516500-5,Usluge osiguranja od profesionalne odgovornosti
66517000-7,Usluge osiguranja od kredita i jemstva
66517100-8,Usluge osiguranja od kredita
66517200-9,Usluge osiguranja od jemstva
66517300-0,Usluge osiguranja od upravljanja rizicima
66518000-4,Usluge posredovanja i zastupanja u osiguranju
66518100-5,Usluge posredovanja u osiguranju
66518200-6,Usluge zastupanja u osiguranju
66518300-7,Usluge usaglašavanja potraživanja po osnovu osiguranja
66519000-1,"Usluge u osiguranju: tehnièke, pomoæne, likvidacija štete, obrade šteta, aktuarske i usluge u vezi sa ostacima ošteæenih osiguranih stvari"
66519100-2,Usluge osiguranja naftnih ili gasnih platformi
66519200-3,Tehnièke usluge u osiguranju
66519300-4,Pomoæne usluge u osiguranju
66519310-7,Usluge savetovanja u osiguranju
66519400-5,Usluge likvidacije štete
66519500-6,Usluge obrade štete
66519600-7,Aktuarske usluge u osiguranju
66519700-8,Usluge u vezi sa ostacima ošteæenih osiguranih stvari
66520000-1,Penzione usluge
66521000-8,Individualne penzione usluge
66522000-5,Grupne penzione usluge
66523000-2,Savetodavne usluge u vezi sa penzionim fondovima
66523100-3,Usluge upravljanja penzionim fondom
66600000-6,Usluge trezora
66700000-7,Usluge reosiguranja
66710000-0,Usluge životnog reosiguranja
66720000-3,Usluge reosiguranja od nezgode i usluge zdravstvenog reosiguranja
70000000-1,Usluge poslovanja nekretninama
70100000-2,Usluge poslovanja nekretninama sa sopstvenom imovinom
70110000-5,Usluge izgradnje nekretnina
70111000-2,Usluge izgradnje stambenih nekretnina
70112000-9,Usluge izgradnje drugih nekretnina osim stambenih
70120000-8,Kupovina i prodaja nekretnina
70121000-5,Usluge kupovine ili prodaje zgrada
70121100-6,Usluge prodaje zgrada
70121200-7,Usluge kupovine zgrada
70122000-2,Usluge prodaje ili kupovine zemljišta
70122100-3,Usluge prodaje zemljišta
70122110-6,Usluge prodaje praznog zemljišta
70122200-4,Usluge kupovine zemljišta
70122210-7,Usluge kupovine neizgraðenog zemljišta
70123000-9,Prodaja nekretnina
70123100-0,Prodaja stambenih nekretnina
70123200-1,Prodaja drugih nekretnina osim stambenih
70130000-1,Usluge iznajmljivanja sopstvene imovine
70200000-3,Usluge davanja sopstvene imovine u najam ili zakup
70210000-6,Usluge davanja stambenih nekretnina u najam ili zakup
70220000-9,Usluge davanja drugih nekretnina osim stambenih u najam ili zakup
70300000-4,Agencijske usluge u poslovanju nekretninama po osnovu provizije ili po osnovu ugovora
70310000-7,Usluge davanja u najam ili prodaje zgrade
70311000-4,Usluge davanja u najam ili prodaje stambene zgrade
70320000-0,Usluge davanja u najam ili prodaje zemljišta
70321000-7,Usluge davanja u najam zemljišta
70322000-4,Usluge davanja u najam ili prodaje neizgraðenog zemljišta
70330000-3,Usluge u poslovanju nekretninama po osnovu provizije ili po osnovu ugovora
70331000-0,Usluge poslovanja stambenim nekretninama
70331100-1,Usluge upravljanja institucijama
70332000-7,Usluge poslovanja drugim nekretninama osim stambenih
70332100-8,Usluge upravljanja zemljištem
70332200-9,Usluge upravljanja poslovnom imovinom
70332300-0,Usluge u vezi sa industrijskom imovinom
70333000-4,Smeštajne usluge
70340000-6,Usluge vremenski ogranièenog korišæenja imovine (tajm šering)
71000000-8,"Arhitektonske, graðevinske, inženjerske i inspekcijske usluge"
71200000-0,Arhitektonske i srodne usluge
71210000-3,Usluge savetovanja u oblasti arhitekture
71220000-6,Usluge projektovanja u arhitekturi
71221000-3,Arhitektonske usluge za zgrade
71222000-0,Arhitektonske usluge za površine na otvorenom
71222100-1,Usluge kartiranja urbanih podruèja
71222200-2,Usluge kartiranja ruralnih podruèja
71223000-7,Arhitektonske usluge za nadogradnju zgrada
71230000-9,Organizacija arhitektonskih konkursa za nacrte
71240000-2,"Arhitektonske, inženjerske usluge i usluge planiranja"
71241000-9,"Studije izvodljivosti, savetodavne usluge, analiza"
71242000-6,"Izrada projekata i nacrta, procena troškova"
71243000-3,Izrada nacrta planova (sistemi i integracija)
71244000-0,"Proraèun troškova, praæenje troškova"
71245000-7,"Nacrti za odobrenje, radni crteži i specifikacije"
71246000-4,Odreðivanje i navoðenje kolièina u graðevinarstvu
71247000-1,Nadzor graðevinskih radova
71248000-8,Nadzor projekata i dokumentacije (projektantski nadzor)
71250000-5,"Arhitektonske, tehnièke i geodetske usluge"
71251000-2,Arhitektonske usluge i usluge premera zgrade
71300000-1,Tehnièke usluge
71310000-4,Savetodavne tehnièke i graðevinske usluge
71311000-1,Savetodavne usluge u oblasti niskogradnje
71311100-2,Prateæe usluge u oblasti niskogradnje
71311200-3,Savetodavne usluge u vezi sa transportnim sistemima
71311210-6,Savetodavne usluge u vezi sa autoputevima
71311220-9,Tehnièke usluge u vezi sa autoputevima
71311230-2,Tehnièke usluge u vezi sa železnicom
71311240-5,Tehnièke usluge u vezi sa aerodromom
71311300-4,Savetodavne usluge u oblasti infrastrukturnih radova
71312000-8,Savetodavne usluge u oblasti visokogradnje
71313000-5,Savetodavne usluge u oblasti zaštite životne sredine
71313100-6,Savetodavne usluge u oblasti kontrole buke
71313200-7,Savetodavne usluge u oblasti zvuène izolacije i prostorne akustike
71313400-9,Procena uticaja graðevine na životnu sredinu
71313410-2,Procena rizika ili opasnosti za graðevinu
71313420-5,Standardi životne sredine za graðevinu
71313430-8,Analiza pokazatelja životne sredine za graðevinu
71313440-1,Usluge procene uticaja graðevine na životnu sredinu (EIA)
71313450-4,Praæenje životne sredine kod izgradnje
71314000-2,Usluge u oblasti energetike i srodne usluge
71314100-3,Usluge u oblasti elektriène energije
71314200-4,Usluge u vezi sa upravljanjem energijom
71314300-5,Savetodavne usluge u vezi sa energetskom efikasnošæu
71314310-8,Usluge u oblasti tehnike grejanja zgrada
71315000-9,Usluge izgradnje zgrade
71315100-0,Savetodavne usluge u vezi sa graðevinskim materijalima
71315200-1,Savetodavne usluge u vezi sa izgradnjom
71315210-4,Savetodavne usluge u vezi sa opremanjem zgrada
71315300-2,Usluge premera zgrada
71315400-3,Usluge inspekcijskog pregleda zgrada
71315410-6,Inspekcijski pregled sistema za ventilaciju
71316000-6,Savetodavne usluge u oblasti telekomunikacija
71317000-3,Savetodavne usluge u vezi sa zaštitom od opasnosti i kontrolom opasnosti
71317100-4,Savetodavne usluge u vezi sa zaštitom od požara i eksplozije i nadzorom nad njima
71317200-5,Usluge u oblasti zdravstva i bezbednosti
71317210-8,Savetodavne usluge u oblasti zdravstva i bezbednosti
71318000-0,Tehnièke savetodavne usluge
71318100-1,Tehnièke usluge u vezi sa veštaèkim i prirodnim osvetljenjem u zgradi
71319000-7,Usluge veštaèenja
71320000-7,Usluge tehnièkog projektovanja
71321000-4,Usluge tehnièkog projektovanja mehanièkih i elektriènih instalacije zgrada
71321100-5,Usluge u oblasti ekonomike graðenja
71321200-6,Usluge u vezi sa projektovanjem sistema grejanja
71321300-7,Savetodavne usluge za vodovodne instalacije
71321400-8,Savetodavne usluge za ventilaciju
71322000-1,Usluge tehnièkog projektovanja u graðevinarstvu za niskogradnju
71322100-2,Usluge proraèuna kolièine u niskogradnji
71322200-3,Usluge projektovanja cevovoda
71322300-4,Usluge projektovanja mostova
71322400-5,Usluge projektovanja brana
71322500-6,Usluge tehnièkog projektovanja saobraæajnih ureðaja
71323000-8,Usluge tehnièkog projektovanja za industrijske procese i proizvodnju
71323100-9,Usluge projektovanja elektroenergetskih sistema
71323200-0,Usluge tehnièkog projektovanja pogona
71324000-5,Usluge izrade troškovnika
71325000-2,Usluge projektovanja temelja
71326000-9,Pomoæne usluge u graðevinarstvu
71327000-6,Usluge projektovanja noseæih konstrukcija
71328000-3,Usluge provere projekata noseæih konstrukcija
71330000-0,Razne inženjerske usluge
71331000-7,Inženjerske usluge u oblasti teènosti za bušenje
71332000-4,Geotehnièke inženjerske usluge
71333000-1,Mehanièke inženjerske usluge
71334000-8,Mehanièke i elektrotehnièke inženjerske usluge
71335000-5,Tehnièke studije
71336000-2,Usluge tehnièke podrške
71337000-9,Usluge u oblasti zaštite od korozije
71340000-3,Usluge integrisanih inženjerskih usluga
71350000-6,Nauène i tehnièke inženjerske usluge
71351000-3,"Geološke, geofizièke i druge nauène istraživaèke usluge"
71351100-4,Usluge pripreme i analize uzorka izvaðenog geološkim bušenjem
71351200-5,Savetodavne usluge u oblasti geologije i geofizike
71351210-8,Savetodavne usluge u oblasti geofizike
71351220-1,Savetodavne usluge u oblasti geologije
71351300-6,Usluge mikropaleontološke analize
71351400-7,Usluge petrofizièkog tumaèenja
71351500-8,Usluge ispitivanja tla
71351600-9,Usluge prognoze vremena
71351610-2,Meteorološke usluge
71351611-9,Usluge u klimatologiji
71351612-6,Hidro-meteorološke usluge
71351700-0,Nauèno istraživaèke usluge
71351710-3,Geofizièke istraživaèke usluge
71351720-6,Geofizièka ispitivanja arheoloških nalazišta
71351730-9,Geološke istraživaèke usluge
71351800-1,Topografske usluge i pronalaženje podzemnih voda
71351810-4,Topografske usluge
71351811-1,Topografska ispitivanja arheoloških nalazišta
71351820-7,Usluge pronalaženja podzemnih voda
71351900-2,"Geološke, okeanografske i hidrološke usluge"
71351910-5,Geološke usluge
71351911-2,Foto-geološke usluge
71351912-9,Usluge stratigrafske geologije
71351913-6,Usluge geološkog istraživanja
71351914-3,Arheološke usluge
71351920-2,Okeanografske i hidrološke usluge
71351921-2,Usluge okeanografije reènih ušæa tipa estuara
71351922-2,Usluge fizièke okeanografije
71351923-2,Usluge batimetrièkih ispitivanja
71351924-2,Usluge podvodnog istraživanja
71352000-0,Usluge podzemnog istraživanja
71352100-1,Usluge u oblasti seizmologije
71352110-4,Usluge seizmološkog merenja
71352120-7,Usluge dobijanja seizmoloških podataka
71352130-0,Usluge prikupljanja seizmoloških podataka
71352140-3,Usluge obrade seizmoloških podataka
71352300-3,Usluge magnetometrijskog ispitivanja
71353000-7,Usluge ispitivanja površine
71353100-8,Usluge hidrografskog ispitivanja
71353200-9,Usluge dimenzionog snimanja terena
71354000-4,Kartografske usluge
71354100-5,Usluge izrade digitalnih geografskih karti
71354200-6,Usluge aerofoto karti
71354300-7,Usluge katastarskog premera
71354400-8,Hidrografske usluge
71354500-9,Usluge pomorskih merenja
71355000-1,Usluge izrade zvaniènih geografskih karti
71355100-2,Fotogrametrijske usluge
71355200-3,Katastarski premer
71356000-8,Tehnièke usluge
71356100-9,Usluge tehnièkog nadzora
71356200-0,Usluge tehnièke pomoæi
71356300-1,Usluge tehnièke podrške
71356400-2,Usluge tehnièkog planiranja
71400000-2,Usluge prostornog planiranja i pejzažne arhitekture
71410000-5,Usluge prostornog planiranja
71420000-8,Usluge pejzažne arhitekture
71421000-5,Usluge pejzažnog ureðenja bašti i vrtova
71500000-3,Usluge u vezi sa graðevinarstvom
71510000-6,Usluge ispitivanja terena
71520000-9,Usluge graðevinskog nadzora
71521000-6,Usluge nadzora na gradilištu
71530000-2,Savetodavne usluge u graðevinarstvu
71540000-5,Usluge voðenja izgradnje
71541000-2,Usluge voðenja projekata u graðevinarstvu
71550000-8,Kovaèke usluge
71600000-4,"Usluge tehnièkog ispitivanja, analize i konsaltinga"
71610000-7,Usluge ispitivanja i analize sastava i èistoæe
71620000-0,Usluge analize
71621000-7,Usluge tehnièke analize ili konsaltinga
71630000-3,Usluge tehnièkog nadzora i ispitivanja
71631000-0,Usluge tehnièkog nadzora
71631100-1,Usluge inspekcije mašina
71631200-2,Usluge tehnièkog pregleda vozila
71631300-3,Usluge tehnièkog pregleda zgrada
71631400-4,Usluge tehnièkog pregleda graðevinskih konstrukcija
71631420-0,Usluge nadzora pomorske bezbednosti
71631430-3,Usluge ispitivanja curenja
71631440-6,Usluge kontrole protoka
71631450-9,Usluge inspekcijskog pregleda mostova
71631460-2,Usluge inspekcijskog pregleda brana
71631470-5,Usluge inspekcijskog pregleda železnièkih šina
71631480-8,Usluge inspekcijskog pregleda puteva
71631490-1,Usluge inspekcijskog pregleda uzletno-sletnih staza
71632000-7,Usluge tehnièkih ispitivanja
71632100-8,Usluge ispitivanja ventila
71632200-9,Usluge neinvanzivnog ispitivanja
71700000-5,Usluge praæenja i nadzora
71730000-4,Usluge industrijske inspekcije
71731000-1,Usluge industrijske kontrole kvaliteta
71800000-6,Savetodavne usluge za vodosnabdevanje i otpadne vode
71900000-7,Laboratorijske usluge
72000000-5,"Usluge informacione tehnologije: savetodavne usluge, izrada aplikacija, internet i podrška"
72100000-6,Savetodavne usluge u vezi sa hardverom
72110000-9,Savetodavne usluge u vezi sa izborom hardvera
72120000-2,Savetodavne usluge u vezi sa regeneracijom hardvera posle kvara
72130000-5,Savetodavne usluge u vezi sa planiranjem smeštaja raèunara
72140000-8,Savetodavne usluge u vezi sa ispitivanjem kod preuzimanja raèunarskog hardvera
72150000-1,Savetodavne usluge u vezi sa ispitivanjem prihvatljivosti raèunarskog hardvera
72200000-7,Usluge programiranja i savetodavne usluge
72210000-0,Usluge programiranja softverskih paket proizvoda
72211000-7,Usluge programiranja sistemskog i korisnièkog softvera
72212000-4,Usluge programiranja aplikacijskog softvera
72212100-0,Usluge izrade industrijskog softvera
72212110-3,Usluge izrade softvera za prodajno mesto (POS)
72212120-6,Usluge izrade softvera za kontrolu leta
72212121-3,Usluge izrade softvera za kontrolu vazdušnog saobraæaja
72212130-9,Usluge izrade softvera za zemaljsku podršku i testiranje leta
72212131-6,Usluge izrade softvera za zemaljsku podršku
72212132-3,Usluge izrade softvera za testiranje letenja
72212140-2,Usluge izrade softvera za kontrolu železnièkog saobraæaja
72212150-5,Usluge izrade softvera za nadzor u industriji
72212160-8,Usluge izrade softvera za biblioteke
72212170-1,Usluge izrade softvera za prilagoðavanje
72212180-4,Usluge razvoja medicinskog softvera
72212190-7,Usluge izrade softvera za obrazovanje
72212200-1,"Usluge izrade softvera za umrežavanje, internet i intranet"
72212210-4,Usluge izrade softvera za umrežavanje
72212211-1,Usluge izrade softvera za meðupovezivanje aplikacijskih platformi
72212212-8,Usluge izrade softvera za optièke disk (džuboks) servere
72212213-5,Usluge izrade softvera za proširenje operativnog sistema
72212214-2,Usluge izrade softvera za mrežni operativni sistem
72212215-9,Usluge izrade softvera za razvoj umrežavanja
72212216-6,Usluge izrade softvera za terminalsku emulaciju mrežne povezanosti
72212217-3,Usluge izrade softvera za obradu transakcija
72212218-0,Usluge izrade softvera za upravljanje dozvolama (licencama)
72212219-7,Usluge izrade softvera za razna umrežavanja
72212220-7,Usluge izrade softvera za internet i intranet
72212221-4,Usluge izrade softvera za pretraživanje interneta
72212222-1,Usluge izrade softvera za internet servere
72212223-8,Usluge izrade softvera za elektronsku poštu
72212224-5,Usluge izrade softvera za ureðivanje internet stranica
72212300-2,"Usluge izrade softvera za izradu dokumenta, crtanje, slikovni prikaz, vremensko planiranje i produktivnost"
72212310-5,Usluge izrade softvera za izradu dokumenta
72212311-2,Usluge izrade softvera za upravljanje dokumentima
72212312-9,Usluge izrade softvera za elektronsko izdavaštvo
72212313-6,Usluge izrade softvera za optièko prepoznavanje znakova (OCR)
72212314-3,Usluge izrade softvera za prepoznavanje glasa
72212315-0,Usluge izrade softvera za stono izdavaštvo
72212316-7,Usluge izrade softvera za prezentacije
72212317-4,Usluge izrade softvera za obradu teksta
72212318-1,Usluge izrade softvera za skenere
72212320-8,Usluge izrade softvera za crtanje i slikovni prikaz
72212321-5,Usluge izrade softvera za projektovanje pomoæu raèunara (CAD)
72212322-2,Usluge razvoja grafièkog softvera
72212323-9,Usluge izrade softvera za proizvodnju pomoæu raèunara (CAM)
72212324-6,Usluge izrade softvera za grafikone
72212325-3,Usluge izrade softvera za pravljenje obrazaca
72212326-0,Usluge izrade softvera za izradu karata
72212327-7,Usluge izrade softvera za crtanje i slikanje
72212328-4,Usluge izrade softvera za obradu slike
72212330-1,Usluge izrade softvera za vremensko planiranje i produktivnost
72212331-8,Usluge izrade softvera za voðenje projekata
72212332-5,Usluge izrade softvera za vremensko planiranje
72212333-2,Usluge izrade softvera za voðenje kontakata
72212400-3,Usluge izrade softvera za poslovne transakcije i liène poslove
72212410-6,Usluge izrade softvera za voðenje investicija i pripremu poreske prijave
72212411-3,Usluge izrade softvera za voðenje investicija
72212412-0,Usluge izrade softvera za pripremu poreske prijave
72212420-9,Usluge izrade softvera za upravljanje objektima i paketa usluga izrade softvera
72212421-6,Usluge izrade softvera za upravljanje objektima
72212422-3,Paket usluga izrade softvera
72212430-2,Usluge izrade softvera za voðenje inventara
72212440-5,Usluge izrade softvera za finansijsku analizu i raèunovodstvo
72212441-2,Usluge izrade softvera za finansijsku analizu
72212442-9,Usluge izrade softvera za finansijske sisteme
72212443-6,Usluge izrade softvera za raèunovodstvo
72212445-0,Usluge izrade softvera za odnose sa klijentima
72212450-8,Usluge izrade softvera za obraèun vremena ili za ljudske resurse
72212451-5,Usluge izrade softvera za planiranje resursa preduzeæa
72212460-1,"Usluge izrade analitièkog, nauènog, matematièkog ili prognostièkog softvera"
72212461-8,Usluge izrade analitièkog ili nauènog softvera
72212462-5,Usluge izrade matematièkog ili prognostièkog softvera
72212463-2,Usluge izrade statistièkog softvera
72212470-4,Usluge izrade softvera za aukcije
72212480-7,"Usluge izrade softvera za prodaju, plasman i poslovne informacije"
72212481-4,Usluge izrade softvera za prodaju ili plasman
72212482-1,Usluge izrade softvera za poslovne informacije
72212490-0,Usluge izrade softvera za javne nabavke
72212500-4,Usluge izrade komunikacionog i multimedijalnog softvera
72212510-7,Usluge razvoja komunikacionog softvera
72212511-4,Usluge izrade softvera za stone komunikacije
72212512-1,Usluge izrade softvera za interaktivni govorni odgovor
72212513-8,Usluge izrade softvera za modeme
72212514-5,Usluge izrade softvera za daljinski pristup
72212515-2,Usluge izrade softvera za video konferencije
72212516-9,Usluge izrade softvera za elektronsku razmenu
72212517-6,Usluge izrade softvera za informacione tehnologije
72212518-3,Usluge razvoja emulacionog softvera
72212519-0,Usluge izrade softvera za upravljanje memorijom
72212520-0,Usluge izrade softvera za multimedijske programske pakete
72212521-7,Usluge izrade softvera za redigovanje muzike ili zvuka
72212522-4,Usluge izrade softvera za virtuelne tastature
72212600-5,Usluge izrade softvera za baze podataka i operativnog softvera
72212610-8,Usluge izrade softvera za baze podataka
72212620-1,Usluge izrade softvera za operativni sistem centralnog raèunara
72212630-4,Usluge izrade softvera za operativni sistem mini-raèunara
72212640-7,Usluge izrade softvera za operativni sistem mikro-raèunara
72212650-0,Usluge izrade softvera za operativni sistem personalnog raèunara (PC)
72212660-3,Usluge izrade softvera za grupisanje
72212670-6,Usluge izrade softvera za operativne sisteme u realnom vremenu
72212700-6,Podrška uslugama izrade softvera
72212710-9,Usluge izrade softvera za sigurnosno kopiranje (bekap) ili povraæaj ošteæenih podataka
72212720-2,Usluge izrade softvera za bar-kodove
72212730-5,Usluge razvoja sigurnosnog softvera
72212731-2,Usluge izrade softvera za sigurnost datoteka
72212732-9,Usluge izrade softvera za sigurnost podataka
72212740-8,Usluge izrade softvera za prevoðenje stranih jezika
72212750-1,Usluge izrade softvera za punjenje memorije
72212760-4,Usluge izrade softvera za zaštitu od virusa
72212761-1,Usluge razvoja antivirusnog softvera
72212770-7,"Usluge razvoja programa za opštu podršku, komprimovanje i štampu"
72212771-4,Usluge razvoja programa za opštu podršku
72212772-1,Usluge razvoja programa za podršku štampanju
72212780-0,"Usluge izrade softvera za upravljanje sistemom, snimanjem i sadržajem"
72212781-7,Usluge izrade softvera za upravljanje sistemom
72212782-4,Usluge izrade softvera za upravljanje memorijom
72212783-1,Usluge izrade softvera za upravljanje sadržajem
72212790-3,Usluge izrade softvera za proveru verzija
72212900-8,Usluge izrade raznih softvera i raèunarskih sistema
72212910-1,"Usluge izrade softvera za raèunarske igrice, rodbinske veze i skrin sejvere"
72212911-8,Usluge izrade softvera za raèunarske igrice
72212920-4,Usluge izrade softvera za automatizaciju kancelarijskog poslovanja
72212930-7,Usluge izrade softvera za obuku i zabavu
72212931-4,Usluge izrade softvera za obuku
72212932-1,Usluge izrade softvera za zabavu
72212940-0,Usluge izrade softvera za dizajniranje uzoraka i kalendare
72212941-7,Usluge izrade softvera za dizajniranje uzoraka
72212942-4,Usluge izrade softvera za kalendare
72212960-6,Usluge izrade sistemskog softvera i drajvera
72212970-9,Usluge izrade softvera za štampu
72212971-6,Usluge izrade softvera za izradu adresara
72212972-3,Usluge izrade softvera za izradu natpisa
72212980-2,Usluge izrade programskih jezika i alata
72212981-9,Usluge izrade kompilacijskog softvera
72212982-6,Usluge izrade softvera za upravljanje konfiguracijom
72212983-3,Usluge izrade razvojnog softvera
72212984-0,Usluge izrade softvera za ispitivanje programa
72212985-7,Usluge izrade softvera za uklanjanje grešaka
72212990-5,Usluge izrade softvera za tabele i za proširenja
72212991-2,Usluge izrade softvera za tabele
72220000-3,Usluge sistemskog i tehnièkog savetovanja
72221000-0,Usluge savetovanja u oblasti poslovnih analiza
72222000-7,Usluge strateške revizije i planiranja informacionih sistema ili tehnologija
72222100-8,Usluge strateške revizije informacionih sistema ili tehnologija
72222200-9,Usluge planiranja informacionih sistema ili tehnologija
72222300-0,Usluge informacionih tehnologija
72223000-4,Usluge revizije zahteva informacionih tehnologija
72224000-1,Usluge savetovanja u oblasti voðenja projekata
72224100-2,Usluge planiranja implementacije sistema
72224200-3,Usluge planiranja garancije kvaliteta sistema
72225000-8,Usluge ocene i ispitivanja garancije kvaliteta sistema
72226000-5,Savetodavne usluge ispitivanja prihvatljivosti kod preuzimanja sistemskog softvera
72227000-2,Savetodavne usluge u vezi sa integracijom softvera
72228000-9,Savetodavne usluge u vezi sa integracijom hardvera
72230000-6,Usluge izrade softvera po narudžbi korisnika
72231000-3,Izrada softvera u vojne svrhe
72232000-0,Izrada softvera za obradu transakcija i softvera po narudžbi
72240000-9,Usluge sistemske analize i programiranja
72241000-6,Usluge odreðivanja glavnih planskih ciljeva
72242000-3,Usluge modeliranja dizajna
72243000-0,Usluge programiranja
72244000-7,Usluge izrade prototipa
72245000-4,Usluge analize ugovornih sistema i programiranja
72246000-1,Savetodavne usluge o sistemima
72250000-2,Sistemske usluge i usluge podrške
72251000-9,Usluge regeneracije posle kvara
72252000-6,Usluge raèunarskog arhiviranja
72253000-3,Usluge službe za pomoæ korisnicima i podršku
72253100-4,Usluge službe za pomoæ korisnicima
72253200-5,Usluge sistemske podrške
72254000-0,Ispitivanje softvera
72254100-1,Usluge ispitivanja sistema
72260000-5,Usluge povezane sa softverom
72261000-2,Usluge softverske podrške
72262000-9,Usluge izrade softvera
72263000-6,Usluge izvoðenja softvera
72264000-3,Usluge umnožavanja softvera
72265000-0,Usluge konfiguracije softvera
72266000-7,Usluge konsultovanja u vezi sa softverom
72267000-4,Usluge održavanja i popravke softvera
72267100-0,Održavanje softvera za informacione tehnologije
72267200-1,Popravka softvera za informacione tehnologije
72268000-1,Usluge nabavke softvera
72300000-8,Usluge u vezi sa podacima
72310000-1,Usluge obrade podataka
72311000-8,Usluge izrade raèunarskih tabliènih prikaza
72311100-9,Usluge konverzije podataka
72311200-0,Usluge obrade grupa podataka
72311300-1,Usluge vremenskog zakupa raèunara
72312000-5,Usluge unosa podataka
72312100-6,Usluge pripreme podataka
72312200-7,Usluge optièkog prepoznavanja karaktera
72313000-2,Usluge preuzimanja podataka
72314000-9,Usluge prikupljanja i uparivanja podataka
72315000-6,Usluge upravljanja i podrške mrežama podataka
72315100-7,Usluge podrške mrežama podataka
72315200-8,Usluge upravljanja mrežama podataka
72316000-3,Usluge analize podataka
72317000-0,Usluge skladištenja podataka
72318000-7,Usluge prenosa podataka
72319000-4,Usluge dostavljanja podataka
72320000-4,Usluge baze podataka
72321000-1,Usluge baze podataka sa dodatnom vrednošæu
72322000-8,Usluge upravljanja podacima
72330000-2,Usluge standardizacije i klasifikacije sadržaja ili podataka
72400000-4,Usluge interneta
72410000-7,Provajderske usluge
72411000-4,Provajderi internet usluga (ISP)
72412000-1,Provajderske usluge elektronske pošte
72413000-8,Usluge dizajna internet stranica
72414000-5,Provajderi usluga pretraživanja interneta
72415000-2,Provajderske usluge internet stranica
72416000-9,Provajderi aplikacionih usluga
72417000-6,Nazivi internet domena
72420000-0,Usluge razvoja interneta
72421000-7,Usluge razvoja korisnièkih aplikacija za internet ili intranet
72422000-4,Usluge razvoja serverskih aplikacija za internet ili intranet
72500000-0,Usluge u vezi sa raèunarima
72510000-3,Usluge upravljanja vezi sa raèunarima
72511000-0,Softverske usluge za mrežno upravljanje
72512000-7,Usluge voðenja dokumentacije
72513000-4,Usluge automatizacije kancelarijskog poslovanja
72514000-1,Usluge upravljanja raèunarskim ureðajima
72514100-2,Usluge upravljanja sredstvima koje obuhvataju rad raèunara
72514200-3,Usluge upravljanja sredstvima za razvoj raèunarskih sistema
72514300-4,Usluge upravljanja sredstvima za održavanje raèunarskih sistema
72540000-2,Usluge nadogradnje raèunara
72541000-9,Usluge proširenja raèunara
72541100-0,Usluge proširenja memorije
72590000-7,Profesionalne usluge u vezi sa raèunarima
72591000-4,Izrada sporazuma o nivou usluga
72600000-6,Usluge raèunarske potpore i konsaltinga
72610000-9,Usluge raèunarske podrške
72611000-6,Usluge tehnièke raèunarske podrške
72700000-7,Usluge raèunarske mreže
72710000-0,Usluge lokalne mreže
72720000-3,Usluge mreža za široko podruèje (WAN)
72800000-8,Usluge raèunarske revizije i ispitivanja
72810000-1,Usluge raèunarske revizije
72820000-4,Usluge raèunarskog ispitivanja
72900000-9,Usluge raèunarskog sigurnosnog kopiranja (bekap) i kataloške konverzije
72910000-2,Usluge raèunarskog sigurnosnog kopiranja (bekap)
72920000-5,Usluge raèunarske kataloške konverzije
73000000-2,Usluge istraživanja i razvoja i prateæe savetodavne usluge
73100000-3,Usluge u oblasti istraživanja i eksperimentalnog razvoja
73110000-6,Usluge istraživanja
73111000-3,Usluge istraživaèkih laboratorija
73112000-0,Usluge istraživanja mora
73120000-9,Usluge eksperimentalnog razvoja
73200000-4,Savetodavne usluge u oblasti istraživanja i razvoja
73210000-7,Savetodavne usluge u oblasti istraživanja
73220000-0,Savetodavne usluge u oblasti razvoja
73300000-5,Planiranje i sprovoðenje istraživanja i razvoja
73400000-6,Usluge istraživanja i razvoja kod bezbednosnih i odbrambenih materijala
